Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	24.10.2023 23:13:57	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Настройки проверки: Уровень безопасности: Рекомендуемый, Эвристический анализ: Средний, Действие при обнаружении угрозы: Лечить. Удалять, если лечение невозможно
Компонент: Поиск вредоносного ПО
Тип объекта: Подсистема
Название объекта: Поиск вредоносного ПО"
Сведения	24.10.2023 15:27:40	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Предотвращение вторжений
Тип объекта: Подсистема
Название объекта: Предотвращение вторжений"
Сведения	24.10.2023 15:27:38	avp	235	Отсутствует	"Тип события: Приложение запущено
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Защита"
Предупреждение	24.10.2023 15:27:38	avp	237	Отсутствует	"Тип события: Обнаружено некорректное завершение предыдущей сессии работы приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Защита"
Сведения	24.10.2023 15:27:34	avp	2071	Отсутствует	Текущий статус использования Kaspersky Security Network ID[C9B0DB8C16DD43CF955143D1BEBA5F16]: включен.
Сведения	24.10.2023 15:27:34	avp	2071	Отсутствует	Текущий статус использования Kaspersky Security Network ID[1A03DE2D6B9E4C009061F7DDFB202FBA]: включен.
Сведения	24.10.2023 15:15:46	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Защита"
Сведения	24.10.2023 15:15:45	avp	2075	Отсутствует	Изменен статус использования Kaspersky Security Network ID[C9B0DB8C16DD43CF955143D1BEBA5F16]: включен пользователем.
Сведения	24.10.2023 15:15:45	avp	2075	Отсутствует	Изменен статус использования Kaspersky Security Network ID[1A03DE2D6B9E4C009061F7DDFB202FBA]: включен пользователем.
Сведения	24.10.2023 15:14:32	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Предотвращение вторжений
Тип объекта: Подсистема
Название объекта: Предотвращение вторжений"
Предупреждение	24.10.2023 15:14:31	avp	2078	Отсутствует	Положение о Kaspersky Security Network было обновлено после установки патча. Текущий статус использования Kaspersky Security Network ID[C9B0DB8C16DD43CF955143D1BEBA5F16]: выключен.
Предупреждение	24.10.2023 15:14:31	avp	2078	Отсутствует	Положение о Kaspersky Security Network было обновлено после установки патча. Текущий статус использования Kaspersky Security Network ID[1A03DE2D6B9E4C009061F7DDFB202FBA]: выключен.
Сведения	24.10.2023 15:14:30	avp	235	Отсутствует	"Тип события: Приложение запущено
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Защита"
Сведения	24.10.2023 15:14:30	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Защита"
Сведения	24.10.2023 15:14:30	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Активный пользователь)
Компонент: Защита"
Предупреждение	24.10.2023 15:14:29	avp	2078	Отсутствует	Положение о Kaspersky Security Network было обновлено после установки патча. Текущий статус использования Kaspersky Security Network ID[C9B0DB8C16DD43CF955143D1BEBA5F16]: выключен.
Предупреждение	24.10.2023 15:14:29	avp	2078	Отсутствует	Положение о Kaspersky Security Network было обновлено после установки патча. Текущий статус использования Kaspersky Security Network ID[1A03DE2D6B9E4C009061F7DDFB202FBA]: выключен.
Сведения	24.10.2023 15:14:26	avp	2072	Отсутствует	Текущий статус использования Kaspersky Security Network ID[C9B0DB8C16DD43CF955143D1BEBA5F16]: выключен.
Сведения	24.10.2023 15:14:26	avp	2072	Отсутствует	Текущий статус использования Kaspersky Security Network ID[1A03DE2D6B9E4C009061F7DDFB202FBA]: выключен.
Предупреждение	24.10.2023 15:14:26	avp	2078	Отсутствует	Положение о Kaspersky Security Network было обновлено после установки патча. Текущий статус использования Kaspersky Security Network ID[C9B0DB8C16DD43CF955143D1BEBA5F16]: выключен.
Предупреждение	24.10.2023 15:14:26	avp	2078	Отсутствует	Положение о Kaspersky Security Network было обновлено после установки патча. Текущий статус использования Kaspersky Security Network ID[1A03DE2D6B9E4C009061F7DDFB202FBA]: выключен.
